comment,rating
"Lần thứ 2 tới Morico Lê Lợi trong năm rồi và vẫn rất thích Morico.
-Lần này chạy xe tới thẳng trước Morico là có anh bảo vệ gửi xe giùm nên tiện hơn nhiều nè, tiệm Morico xinh xinh đáng yêu, bên trong dài lắm ấy, có 2 tầng luôn - thoáng rộng, nội thất ra hẳn phong cách contemporary. Menu xịn xịn lắm nha, như cuốn photobook, đẹp và sang từ chất liệu tới thiết kế. Quán cũng trang trí và dùng những món đồ trên bàn xinh xinh.

-Do chỗ rộng mà ít khách nên không có bị ồn, nhạc bật với âm lượng thấp (nhưng mình sẽ thích hơn nếu không dùng mấy bài pop xập xình :v).

-Morico luôn cho khách phần nước lọc, nhân viên liên tục refill. Nhân viên Morico lúc nào cũng lịch sự, chuyên nghiệp và dễ thương hihi. 

-Còn đồ ăn thì do đi ít người nên cũng chỉ kêu 2 món: món đá xay các loại berry thì chua nhẹ, kem ngon nhưng phần đá xay cũng thường, mình nghĩ nếu thêm nước sốt gì đó nhiều hơn thì sẽ ngon hơn, phần đá xay to mà để trong chén nhỏ cũng khó ăn á Morico ơi. Còn ly parfait thì ngon-trên-từng-cm luôn ấy, phần kem trên xốp nhẹ, 2 viên kem ngọt, phần ngũ cốc giòn giòn, thạch và pana cotta các thứ làm cho mình cực hài lòng luôn ấy - nói chung là 1 món tráng miện bạn phải thử nếu ở SG. Nhìn chung thì Morico đã làm độ ngọt/đắng phù hợp với khẩu vị của người Việt (mình thấy thế) nên ăn dễ, kèm theo việc trang trí món (visual í) quá xuất sắc luôn. 

-Và vì tất cả những điều trên, giá cả của Morico đương nhiên không có bèo rồi :p

Tóm lại là Morico sẽ cho bạn một trải nghiệm thỏa đáng, sang chảnh, thưởng thức văn hóa cảm hứng từ Nhật, thích hợp cho hẹn hò, đi ăn trong dịp đòi hỏi hình thức (formal). Hi vọng chi nhánh này sẽ trường tồn lâu dài, hiện giờ nó bị cái là vướng cái công trình Metro nên khá khó khăn trong việc di chuyển tới, hi vọng Morico vẫn còn đấy để sau này Metro xay xong đi tới Morico sẽ tiện hơn kaka.",8.8
"Mình là khách quen của Morico LL từ lâu. Món mặn - ngọt ở đây đều ngon hết. 

Riêng về menu mặn hơi ít lại k có shushi như mấy nhà khác. Nhưng hôm nay quay lại thật sự ""phấn khích"" luôn, là thay đổi menu mặn mới có thêm shushi & shashimi nữa, phải nói quá nhiều món ngon luôn. 

Morico LL còn có hẳng 1 quầy shushi ở trên lầu với không gian yên tĩnh - rộng rãi 

Đây là nơi mà mình rất hài lòng không chỉ riêng về món ăn mà không gian - cách phục vụ của các bạn rất chuyên nghiệp nhiệt tình với khách.",5
"😊Lúc này mình đi ăn thử 1 trong các Combo Yokoso, mình ăn Combo C. Món mình ấn tượng nhất là Special Gelato cake, lúc đầu không nghĩ đó là kem đâu, ăn rồi mới biết, mà ăn lạnh ngắt luôn :))) đến cuối có lớp bánh ở dưới ăn đỡ ngán kem hơn nè. món này trang trí đúng bắt mắt luôn. Lúc đầu nhìn mình tưởng là mấy bánh macaron nhưng ko phải, toàn bộ đều bằng kem hết, có vị kem dâu, matcha, quít Nhật, dùng dung với topping xoài, vụn bánh Matcha, quả mâm xôi. Có cái đế bên dưới bằng bánh bông lan nên ăn đỡ thấy buốt lạnh hơn :)))) Còn bông hoa trang trí bé xíu kia là từ kẹo đường bth thôi

👍Follow Instagram @myanhnguyenthi to explore more places and somewhere in Vietnam 📍",8
"Morico luôn là địa điểm ưa thích của mình, tuy nhiên chi nhánh Lê Lợi này trước đây menu khá ít nên ko không đến đây nhiều. Nay vô tình vào đây thì không gian thay đổi hoàn toàn nha, đặc biệt là trên lầu mới mở quầy sushi mở có bàn ngồi tại quầy vừa ăn vừa xen mấy anh đầu bếp làm món luôn. Về menu cũng khá đa dạng và đầy đủ như các chi nhánh khác. Nhân viên ở đây thân thiện lắm luôn nha, còn giới thiệu mình lên lầu để khám phá không gian mới haha. Món ăn tươi ngon rất hợp với khẩu vị của mình, một số món giá khá đắt nhưng đi kem với chất lượng và cực kỳ sang chảnh.",9
"Mình đến đây ăn vào tầm 9g có lẽ quán sắp đóng cửa nên nhiều món mình muốn order thì lại hết
Về không gian quán ko được rộng rãi lắm hơi chật chội quán hơi nhỏ view cũg khoing đẹp
Về chất lượng mình thấy matcha ở đây cũg ok hơi đắng chát cơ lẽ không hợp với khẩu vị của mình😭😭
Về giá mình thấy hơi đắt chắc có lẽ do bột matcha nhưmg mình thấy không hợp với mình lắm😭😭",5.4
"Ngon lắm - mùa hè đi ăn các món lạnh là tuyệt vời
Giá cả đi kèm với chất lượng, mình đi đa số ăn dessert
Đá bào là món mình ko thích nhất vì so với bên thái thì ở đây tan mau lắm.
parfait là món không thể bỏ qua khi đến quán. Siêu ngon, nhất là có panda cotta béo ngon lắm, ăn kèm với các loại topping nữa thật sự tuyệt vời. Thích hợp đi với hội nhóm,",9.2
"Ngon lắm luôn á 
Giá cả đi kèm với chất lượng, mình đi đa số ăn dessert
Đá bào là món mình ko thích nhất vì so với bên thái thì ở đây tan mau lắm.
Pầit là món không thể bỏ qua khi đến quán. Siêu ngon, nhất là có panda cotta béo ngon lắm",8.4
"Quán này nằm trên đườn lê lợi chỗ góc lê lợi với pastuer á, dễ tìm lắm, không gian quán đẹp, nhân viên phục vụ ở đây dễ thương, đồ uống siêu ngon, giá hơi cao nhưng đảm bảo chất lượng ha",8
"Vị trí quán dễ tìm, không gian đẹp rộng rãi, đang trưa nóng vô trong đây ta nói mát rượi luôn, nhân viên ở đây cũng dễ thương, nhiệt tình nữa, menu đa dạng, đồ uống ngon, giá hơi cao nhưng chấp nhận được",8
"Lần đầu tiên đến morico giờ này. Quán vẫn ok, nhân viên nhiệt tình. Đồ ăn ổn, nay đổi vị ko uống matcha và cảm thấy hối hận.",7.2
"🍖 Vị trí: lần này quay lại thì mình đã có kinh nghiệm chạy xe hơn rồi 😂 vì công trình vẫn còn xây nên phải đi vô con đường nhỏ xíu, có chỗ giữ xe luôn nha.

🍖 Nhân viên: ai cũng dễ thương.

🍖 Không gian: ấm áp, có nhiều bàn hơi gần nên cũng ngại khi nói chuyện 😂

🍖Món ăn: mình có order 3 món:
 
 Ebi tempura udon: sợi mì udon mình thấy ăn ổn, nước dùng hơi mặn để ăn kèm với ebi. Ebi tempura thì chắc chắn có ebi rồi, ngoài ra còn có bí đỏ/ khoai lang/cà tím/ rau... chiên tẩm bột. Do chiên tẩm bột rồi nên dễ ăn lắm. Chấm kèm với nước tương ăn cho đỡ ngán bột nha.

 Katsudon: món này còn có combo nữa nhưng mà hơi bé nên tụi mình order hẳn 1 tô lun ăn cho nhiều. Mọi thứ đều rất ngon cho đến khi ăn miếng thịt heo thì... nói chung k hợp khẩu vị. Mình vẫn thích oyakodon hơn.

 Houjicha latte kakigori: mình thấy món này được nhiều bạn review ngon nên ăn thử. Cảm nhận của mình là các bạn nên chế sữa vô ăn từ từ rồi thêm tiếp nha vậy mới ngon :))). Mà có vẻ do mình thích ăn ngọt nên thấy morico cho hơi ít sữa, lúc hết sữa rồi ăn nhạt nhẽo lắm😭. Hơi bùn tí nhưng mà vẫn ăn hết :))).",7
"🏡: Morico 30 Lê Lợi 
_________________________
Nói thiệt mình k phải fan Morico ,thấy matcha quá đắng, đá bào nhạt nhẽo,parfait ăn được nhưng k có gì đặc biệt cả,cảm giác k hoà quyện gì hết .Cho đến khi ăn được món Iced Houjicha Shitarama và Molten Matcha Chocolate Cake😍
Houjicha cũng mang một hương vị “rất Nhật Bản “-vị trà gạo rang,vị dễ ăn phù hợp với khẩu vị hầu hết mọi người ,k bị đắng tanh như matcha😂
Còn món bánh Molten có nhân socola+matcha nóng chảy bên trong vô cùng ngon,là sự kết hợp bao chuẩn giữa vị đắng của lớp bánh,chua của dâu tây cùng vị ngọt của dòng chảy sô-cô-la và kem. Hãy ăn lúc bánh và socola còn nóng tan chảy để cảm nhận được sự tuyệt vời nha!!😘
Phục vụ chi nhánh này chuyên nghiệp nhất.Giữ xe miễn phí.",7.8
"Mình rất thích đến morico ăn bingsu, nhất là bingsu theo season. Mùa này là hojicha- 1 loại trà rang dành cho ai không thích trà xanh có thể thử trà rang, mùi dễ chịu hơn đỡ tanh và lại thơm nữa.
Mình gọi set combo gồm 1 bingsu và 1 crepe.
Crep thì mình ko thích, ăn khá là ngán. 
Bingsu thì ngon bên trên có pannacotta, bên trong còn có lớp thạch trà, viên trôi nước ở đây dẻo, mùi gạo nhai thích lắm. 
Gọi 1 phần combo 2 người ăn là đủ rồi, nước lọc free refill suốt luôn. Vì là combo nên ko giảm giá cho thẻ thành viên nữa nha.",7.8
"Hic chắc mình ko hợp với kiểu uống matcha đắng đắng lại nhạt nhạt như vầy nên cảm thấy k thích lắm. Bù lại kem ở đây siêu ngon, ko gian lịch sự, phục vụ tốt, uổng cái nằm ngay chỗ lô cốt nên bị vắng quá.
Giá khá cao",7.2
"Mình thích chất lượng món ăn từ khi còn là MOF, hôm qua mưa lớn, mình ghé quán. 

Đầu tiền bảo vệ giữ xe quá tệ. Quán kế bên mưa cỡ vậy vẫn ngồi trước quán , bảo vệ quán này thấy mình hỏi chỗ giữ xe, vẫn ngồi cười phía trong ko dù ko ra giúp mình luôn.

Vấn đề quan trọng, quán giữ xe sẽ giữ chìa khoá xe. Mình chắc chắn để hộp màu mắt trong cốp xe, nhưng lúc lấy xe, mình lấy nón bảo hiểm ra đã mất hộp màu mắt. 

Hơi thất vọng dịch vụ. Còn lại mấy bạn nhân viên rất tốt, chất lượng món ăn ngon.",7
"Cuồng Morico dễ sợ làm món gì cũng đẹp, bị cái hơi mắc tí hoy chứ không gì 😥. Mình khoái trà xanh đắng nên ăn món nào cũng thấy ngon quá nè, 2 đứa ăn hết chỗ này no ngon lè lưỡi. Không gian đẹp sang hẹn hò hết ý.",8
"Thấy hình bánh này lạ lạ nên mình order ăn thử. Bánh này kiểu giống kem nên ăn nhanh kẻo tan mất. Có vị xoài, vị dâu chua chua ngọt ngọt. Ngoài ra có quả mâm xôi nữa. Lớp phía dưới là bánh matcha",8.2
"Trời lạnh lạnh nên cả phòng dắt díu nhau đi Morico ăn kem cho lạnh thêm :)))
Cũng may mắn được trúng minigame của Morico, free 1 phần dessert combo trong menu SpecialYokoso hè hè
Phải nói là menu này tạo cảm giác tươi xanh yêu đời dễ sợ,đập vô mắt là món nào cũng cute hết trơn.
Mình thử combo matcha kinako warabi mochi với bánh flower gelato cake. Gọi chung combo thì sẽ tiết kiệm hơn gọi từng món
-Cái bánh matcha warabi mochi ăn kèm đậu đỏ thì đặc trưng ở đây rồi, bánh dẻo, matcha đúng ngập miệng luôn, thêm cái béo của đậu đỏ nên chuẩn luôn, không bị đắng gì đâu, thêm có kem siêu béo nữa. Ai mà fan matcha thì nên thử món này nha
-Flower gelato cake: phải nói là 10/10 cho decor, tên bánh là flower nên bánh cũng đẹp như hoa luôn.Mấy viên kem bé bé xinh xinh, có vị trà xanh, vị phúc bồn tử, có cả vị xoài,thích nhất là vị chanh the the bên trong cùng, phía dưới là lớp bánh như bánh bông lan ý, còn có cả vỏ là bánh cookie trà xanh nữa,thêm bông cúc được áo đường bên ngoài nữa, nói chung là cái món này đẹp, thơm, ngon.
Về không gian ở đây thì đúng sang trọng rồi, đèn vàng ấm cúng nữa. Có cái cái vị trí thì bị lô cốt che, dễ bị đi huốt á
Còn nhân viên thì chuyên nghiệp rồi, mặc dù mình dùng voucher ăn free mà nhân viên vẫn nhiệt tình và lịch sự
Giá có hơi cao 1 chút nhưng mà chất lượng thì xứng đáng
Đến đây nhiều lần rồi mà lần nào cũng hài lòng
@moricocafe #specialYokoso",9
"#specialyokoso
#dhcvietnamoffical
💋",7.2
Houjicha monaca parfait ngon xs 👏🏻👏🏻👏🏻,9.6
"Này là hôm đi workshop có chụp vài tấm nên up review luôn. Quán nằm ở khúc có lô cốt nên phải leo lề mà chạy nha, hôm mình đi là gửi xe hẻm gần đó, 10k lận 🤦🏻‍♀️

Quán không lớn lắm, trang trí dễ thương và ấm cúng, dessert là chủ yếu và có thêm vài món mặn. Mình không biết giá cụ thể nên review khái quát thôi nhé.

Mình gọi Iced Matcha Shiratama (78k) : một ly bé bé xinh xinh, matcha xịn nên khá là đắng, uống không quen thì chế nước đường vào. Có viên kem ăn ngon nè nhưng mà không có muỗng múc nên mình lấy ống hút múc ăn 🤦🏻‍♀️ 

Món mặn trang trí đẹp và bắt mắt nhưng vì mình chụp hình lâu quá nên lúc ăn bị lạnh, là lạnh chứ không phải nguội nha mọi người )))) nêm nếm ổn, vị nhạt hơn so với khẩu vị người Việt. 

Nhân viện lịch sự, giá khá cao, lâu lâu đổi gió hay đi tán gẫu cùng bạn bè cũng ổn.",6.6
"Vị trí: nhà hàng riêng biệt chứ ko nằm trong trung tâm thương mại cơ mà vị trí lại ko đc đẹp, vướng lô cốt
Không gian: có trệt với lầu, máy lạnh mát rượi nè, trên lầu thoáng hơn, ánh sáng tự nhiên nhưng full dưới đất r mới đc lên lầu
Mình thích ăn mì ý gà teriyaki ở đây lắm, vì nhìn nó bắt mắt cực kì, lớp da gà nướng rưới sốt căng bóng, kích thích cực. Mì trụng vừa độ, gà nướng thấm, phần ăn đủ no cho mình, có bonus thêm chén xà lách ăn kèm nữa nha",8.6
"Mình hay ăn Morico ở Crescent Mall, tự nhiên đổi hứng sang Lê Lợi ăn thử vì thấy review nhiều hơn. Những món ngọt thì menu khá đầy đủ, vẫn có những món mình thích, nhưng menu món mặn thì quá ít. Chắc do đường đang có công trình, ít người ghé nên menu ít món hơn bên Crescent Mall.",5.2
"quán quen thuộc của gia đình mình 👋🏻 gửi xe free nha anh bảo vệ dễ thương lắm luôn , ghi nhớ xe nào chìa khoá nào cực đỉnh nhé :)))

Kakigori xoài 98k+ là món mình thích nhất trong dãy kakigori 💛 chua chua ngọt ngọt , thịt xoài ăn rất đã miệng , kem float , sốt xoài , chén nước đường. Size càng ngày càng nhỏ ấy , cái chén đựng cũng đổi luôn còn có chút nị 🤭

Hokkaido mille crepe 88k+ (lên giá rồi lúc trước có 78k+) mình chọn sauce chocolate 🍫 có mùi thoang thoảng của rượu rum thơm cực 🤩 bánh béo béo , ko quá ngọt , ăn ko là đủ ngon ko cần sauce vẫn được. Mãi yêu Morico nhé!",7.2
